iter	RMSE
0	179354.1026
1	163745.7778
2	149950.3565
3	138024.898
4	126722.0141
5	116676.9972
6	107218.9789
7	99110.07332
8	91613.7596
9	84842.32069
10	78697.95023
11	73426.43651
12	68446.0422
13	64219.99268
14	60177.68647
15	56543.37563
16	53216.6865
17	50459.04707
18	48024.39877
19	45845.89398
20	43690.04766
21	42156.12437
22	40783.35173
23	39646.17652
24	38478.95035
25	37517.21278
26	36495.57218
27	35631.59629
28	34995.84979
29	34210.9226
30	33688.80367
31	33029.21654
32	32478.98791
33	32027.5999
34	31679.82324
35	31287.225
36	30973.48753
37	30656.2338
38	30379.67814
39	30041.9177
40	29817.1166
41	29501.06679
42	29210.88421
43	29050.891
44	28943.40118
45	28654.95173
46	28529.40357
47	28413.96178
48	28150.04685
49	28042.73736
50	27918.18503
51	27786.19184
52	27609.77526
53	27488.44623
54	27356.55466
55	27245.32405
56	27095.31775
57	26971.15537
58	26912.20082
59	26651.06133
60	26552.73342
61	26400.56702
62	26387.6051
63	26322.49799
64	26265.22135
65	26146.28461
66	25996.35726
67	25978.00726
68	25911.71127
69	25875.57838
70	25852.56639
71	25774.48019
72	25567.32455
73	25504.07494
74	25373.08039
75	25317.10995
76	25206.74317
77	25141.45695
78	25060.60588
79	24972.16393
80	24924.14295
81	24809.20995
82	24762.81604
83	24703.11894
84	24660.99994
85	24462.9176
86	24368.1327
87	24309.21945
88	24201.43224
89	24076.91502
90	23982.07929
91	23931.67843
92	23857.68891
93	23793.9191
94	23770.40027
95	23603.13779
96	23580.00621
97	23529.56038
98	23485.22832
99	23446.08766
100	23310.78174
101	23287.77761
102	23201.82022
103	23102.23677
104	23061.54957
105	23054.1315
106	23045.63859
107	23009.86663
108	22983.8944
109	22977.10827
110	22943.67151
111	22839.68318
112	22758.50159
113	22623.90353
114	22515.29268
115	22438.90174
116	22385.69309
117	22282.70532
118	22226.00954
119	22183.25027
120	22111.20458
121	22101.39119
122	22042.70451
123	21988.32626
124	21938.82436
125	21920.48299
126	21837.92553
127	21801.98732
128	21768.55452
129	21740.39636
130	21656.3344
131	21591.66083
132	21562.81299
133	21495.75236
134	21480.6153
135	21428.22033
136	21382.7241
137	21375.81584
138	21359.43217
139	21345.2052
140	21296.17829
141	21293.13556
142	21282.98917
143	21239.06699
144	21233.28277
145	21225.47503
146	21163.50132
147	21151.0318
148	21138.58532
149	21125.14692
150	21114.7494
151	21095.23203
152	21091.27623
153	21080.69488
154	21072.45619
155	21067.89961
156	21058.75456
157	21050.63429
158	20973.73147
159	20929.1903
160	20905.55294
161	20898.25252
162	20888.94694
163	20882.32998
164	20872.83309
165	20806.95435
166	20791.2419
167	20787.22406
168	20782.50093
169	20768.9614
170	20752.99426
171	20740.94911
172	20636.62979
173	20633.10936
174	20549.73459
175	20544.40887
176	20529.40111
177	20519.13732
178	20516.26811
179	20504.25215
180	20503.07886
181	20495.26374
182	20494.02592
183	20477.97994
184	20454.32575
185	20452.89893
186	20450.25555
187	20426.10464
188	20424.264
189	20389.98864
190	20386.34054
191	20381.86571
192	20376.56613
193	20370.96144
194	20368.30431
195	20365.55262
196	20361.59487
197	20300.61136
198	20298.86594
199	20271.7299
200	20255.83907
201	20238.47038
202	20217.39484
203	20204.54585
204	20144.17508
205	20141.14842
206	20134.07846
207	20126.72405
208	20118.16531
209	20111.6358
210	20106.74805
211	20090.52665
212	20081.31625
213	20069.91576
214	20035.22331
215	20033.16564
216	20029.20953
217	20026.20484
218	19960.22312
219	19955.13785
220	19950.56108
221	19949.2478
222	19935.20286
223	19930.28146
224	19923.2995
225	19919.60611
226	19914.60863
227	19908.62691
228	19902.37767
229	19894.36034
230	19888.98814
231	19886.82959
232	19843.22784
233	19824.83177
234	19774.45735
235	19767.82898
236	19766.01633
237	19761.86239
238	19754.68652
239	19741.03933
240	19731.91564
241	19708.40451
242	19703.50015
243	19688.88819
244	19687.09748
245	19682.27906
246	19680.47697
247	19679.07512
248	19677.79953
249	19674.84437
250	19673.72935
251	19666.94978
252	19592.36016
253	19588.83798
254	19584.65545
255	19583.46117
256	19582.78468
257	19581.81755
258	19579.83551
259	19576.95897
260	19530.30565
261	19529.72612
262	19524.73374
263	19453.71098
264	19445.05177
265	19438.83118
266	19435.97198
267	19428.71345
268	19425.92949
269	19423.34527
270	19421.68188
271	19417.27466
272	19412.70408
273	19411.78393
274	19407.46149
275	19403.76165
276	19402.73041
277	19400.9423
278	19365.9438
279	19358.84465
280	19352.59822
281	19349.45785
282	19348.94887
283	19282.54071
284	19278.7506
285	19255.60921
286	19253.55845
287	19251.49161
288	19250.97319
289	19237.62091
290	19237.36475
291	19237.03325
292	19234.73781
293	19220.60176
294	19219.94376
295	19200.82756
296	19175.77342
297	19172.50726
298	19156.67345
299	19156.43413
300	19156.03543
301	19155.74956
302	19099.74414
303	19096.46283
304	19066.68244
305	19063.34823
306	19049.81979
307	19047.69733
308	18989.85406
309	18986.71593
310	18986.33374
311	18973.85348
312	18965.58687
313	18964.2435
314	18961.13189
315	18958.12969
316	18932.33975
317	18927.68436
318	18925.98911
319	18924.35035
320	18919.83945
321	18915.65157
322	18915.17093
323	18910.53776
324	18909.15009
325	18906.4772
326	18903.65456
327	18903.21374
328	18900.60137
329	18893.34388
330	18889.32278
331	18887.7785
332	18885.55114
333	18884.16054
334	18882.36533
