iter	Passed	Remaining
0	18	18012
1	34	17055
2	50	16837
3	67	16732
4	83	16610
5	112	18663
6	135	19178
7	152	18851
8	168	18596
9	185	18318
10	202	18189
11	234	19305
12	257	19557
13	273	19294
14	290	19062
15	307	18890
16	325	18818
17	343	18741
18	378	19562
19	397	19472
20	417	19441
21	434	19312
22	450	19154
23	467	19020
24	501	19557
25	517	19389
26	533	19234
27	550	19102
28	566	18980
29	589	19065
30	613	19188
31	631	19087
32	651	19078
33	668	19004
34	685	18906
35	713	19094
36	736	19164
37	752	19061
38	769	18961
39	786	18868
40	802	18765
41	819	18689
42	842	18757
43	859	18679
44	885	18788
45	902	18708
46	917	18612
47	944	18726
48	966	18762
49	982	18674
50	999	18594
51	1015	18511
52	1031	18429
53	1047	18355
54	1075	18483
55	1092	18410
56	1108	18342
57	1125	18277
58	1141	18209
59	1161	18189
60	1183	18225
61	1201	18184
62	1220	18153
63	1236	18087
64	1252	18022
65	1282	18155
66	1306	18190
67	1323	18133
68	1339	18073
69	1356	18016
70	1377	18019
71	1394	17970
72	1415	17978
73	1432	17919
74	1449	17871
75	1465	17817
76	1481	17757
77	1499	17730
78	1522	17754
79	1538	17698
80	1555	17649
81	1572	17603
82	1588	17549
83	1616	17625
84	1638	17642
85	1654	17587
86	1671	17539
87	1688	17493
88	1703	17441
89	1723	17423
90	1744	17430
91	1761	17383
92	1777	17337
93	1793	17289
94	1809	17238
95	1829	17227
96	1852	17244
97	1873	17242
98	1890	17206
99	1909	17187
100	1930	17181
101	1950	17175
102	1975	17206
103	1995	17189
104	2013	17164
105	2033	17147
106	2054	17147
107	2073	17121
108	2098	17156
109	2119	17150
110	2136	17113
111	2153	17072
112	2169	17031
113	2198	17085
114	2222	17106
115	2239	17064
116	2255	17023
117	2272	16987
118	2288	16945
119	2308	16925
120	2331	16938
121	2348	16898
122	2364	16862
123	2381	16822
124	2397	16784
125	2429	16853
126	2453	16868
127	2470	16829
128	2486	16788
129	2502	16750
130	2519	16712
131	2536	16680
132	2559	16683
133	2576	16653
134	2594	16623
135	2612	16596
136	2633	16589
137	2650	16557
138	2671	16547
139	2687	16511
140	2704	16475
141	2721	16445
142	2737	16408
143	2763	16425
144	2786	16427
145	2802	16391
146	2818	16356
147	2836	16327
148	2853	16297
149	2871	16273
150	2895	16279
151	2913	16251
152	2930	16222
153	2947	16193
154	2964	16163
155	2983	16141
156	3006	16142
157	3024	16120
158	3042	16091
159	3059	16061
160	3076	16034
161	3096	16020
162	3120	16023
163	3141	16014
164	3158	15982
165	3174	15950
166	3194	15936
167	3222	15960
168	3259	16028
169	3275	15993
170	3292	15961
171	3308	15927
172	3325	15894
173	3360	15952
174	3383	15951
175	3399	15917
176	3416	15885
177	3432	15852
178	3448	15818
179	3466	15793
180	3489	15791
181	3506	15759
182	3522	15728
183	3539	15695
184	3555	15662
185	3574	15641
186	3597	15639
187	3616	15621
188	3634	15594
189	3651	15565
190	3667	15534
191	3688	15521
192	3711	15517
193	3727	15486
194	3744	15456
195	3760	15426
196	3777	15395
197	3794	15370
198	3818	15368
199	3834	15337
200	3851	15308
201	3867	15278
202	3883	15247
203	3901	15223
204	3924	15219
205	3940	15189
206	3957	15159
207	3974	15131
208	3990	15102
209	4008	15079
210	4030	15069
211	4047	15042
212	4063	15015
213	4080	14985
214	4096	14958
215	4117	14946
216	4140	14939
217	4157	14912
218	4174	14885
219	4190	14858
220	4207	14830
221	4229	14823
222	4253	14819
223	4269	14791
224	4286	14764
225	4303	14736
226	4319	14709
227	4336	14684
228	4359	14677
229	4375	14648
230	4391	14620
231	4408	14595
232	4424	14565
233	4443	14544
234	4466	14538
235	4482	14509
236	4499	14484
237	4516	14459
238	4532	14431
239	4550	14410
240	4574	14406
241	4590	14378
242	4609	14360
243	4627	14338
244	4644	14311
245	4664	14295
246	4687	14289
247	4703	14261
248	4720	14237
249	4737	14212
250	4754	14187
251	4773	14169
252	4796	14162
253	4813	14136
254	4830	14111
255	4847	14088
256	4864	14064
257	4882	14040
258	4904	14031
259	4921	14006
260	4938	13982
261	4954	13956
262	4970	13929
263	4991	13914
264	5013	13906
265	5030	13880
266	5046	13855
267	5062	13828
268	5079	13804
269	5100	13791
270	5122	13780
271	5139	13754
272	5155	13729
273	5175	13712
274	5191	13686
275	5218	13690
276	5242	13682
277	5258	13655
278	5281	13648
279	5302	13635
280	5321	13615
281	5337	13591
282	5368	13600
283	5395	13603
284	5428	13618
285	5452	13612
286	5478	13610
287	5507	13615
288	5534	13616
289	5564	13622
290	5591	13623
291	5612	13608
292	5631	13587
293	5652	13573
294	5680	13575
295	5700	13556
296	5721	13542
297	5740	13523
298	5761	13506
299	5782	13492
300	5810	13492
301	5831	13476
302	5854	13466
303	5875	13451
304	5896	13437
